Paper Title,Gender,Total Authors,Female Authors,Study Domain Terms,,Study_Area,Study_Area2,Author Name,gender_annotation,Affiliation,Country,lead?,local_Contribution?,national_collaboration?,International_collaboration?,Conceptualization,FemaleConCep,MaleConCep,Data Curation,Female,Male,Formal Analysis,Female,Male,Funding Acquisition,Investigation,Methodology,Project Administration,Resources,Software,Supervision,FemaleSup,MaleSup,Validation,Visualization,Writing â€“ Original Draft,Writing â€“ Review & Editing,FemaleLead,MaleLead
Requirements for adopting software process lines,Female,4,1,Software Process Lines; Method Tailoring; Requirements Engineering; Systematic Mapping Study; Software Product Lines,[title] Requirements for adopting software process lines [keywords]  Software Process Lines; Method Tailoring; Requirements Engineering; Systematic Mapping Study; Software Product Lines,"Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution.",,Halimeh Agh,1,"Department of Computer Engineering, Sharif University of Technology, Tehran, Iran",Iran,1,0,0,1,1,1,0,1,1,0,1,,,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
,Male,,,,[title]  [keywords],,,FÃ©lix Garcia,0,"Alarcos Research Group, Information Technologies and Systems Institute, University of Castilla-La Mancha, Ciudad Real, Spain",Spain,,,,,0,0,0,0,0,,0,,,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0
,Male,,,,[title]  [keywords],,,Mario Piattini,0,"Alarcos Research Group, Information Technologies and Systems Institute, University of Castilla-La Mancha, Ciudad Real, Spain",Spain,,,,,0,0,0,0,0,,0,,,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
,Male,,,,[title]  [keywords],,,Raman Ramsin,0,"Department of Computer Engineering, Sharif University of Technology, Tehran, Iran",Iran,,,,,0,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Systematic literature reviews in software engineeringâ€”enhancement of the study selection process using Cohenâ€™s Kappa statistic,Male,4,1,Systematic Literature Reviews; Bias Reduction; Study Selection Criteria; Software Engineering; Statistical Methods in Research,[title] Systematic literature reviews in software engineeringâ€”enhancement of the study selection process using Cohenâ€™s Kappa statistic [keywords]  Systematic Literature Reviews; Bias Reduction; Study Selection Criteria; Software Engineering; Statistical Methods in Research,Methods and tools for empirical software engineering research.,,Jorge PÃ©rez,0,Universidad PolitÃ©cnica de Madrid (Technical University of Madrid),Spain,0,1,1,0,1,0,1,0,0,,1,,,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
,Female,,,,[title]  [keywords],,,Jessica DÃ­az,1,Universidad PolitÃ©cnica de Madrid (Technical University of Madrid),Spain,,,,,0,0,0,0,0,,0,,,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
,Male,,,,[title]  [keywords],,,Javier Garcia-Martin,0,Universidad PolitÃ©cnica de Madrid (Technical University of Madrid),Spain,,,,,0,0,0,1,0,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
,Male,,,,[title]  [keywords],,,Bernardo Tabuenca,0,Universidad PolitÃ©cnica de Madrid (Technical University of Madrid),Spain,,,,,0,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
A classification framework for automated control code generation in industrial automation,Male,4,1,Industrial Automation; Control Logic Generation; IEC 61131-3; Automation Software; Case Study Validation,[title] A classification framework for automated control code generation in industrial automation [keywords]  Industrial Automation; Control Logic Generation; IEC 61131-3; Automation Software; Case Study Validation,"Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution.",,Heiko Koziolek,0,"ABB Corporate Research Center Germany, Wallstadter Str. 59, D-68526 Ladenburg, Germany",Germany,0,0,0,1,1,0,1,0,0,,0,,,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1
,Male,,,,[title]  [keywords],,,Andreas Burger,0,"ABB Corporate Research Center Germany, Wallstadter Str. 59, D-68526 Ladenburg, Germany",Germany,,,,,1,0,1,0,0,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
