Paper Title,Study Domain Terms,Study_Area,Study_Area2
Requirements for adopting software process lines,Software Process Lines; Method Tailoring; Requirements Engineering; Systematic Mapping Study; Software Product Lines,"Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
Systematic literature reviews in software engineeringâ€”enhancement of the study selection process using Cohenâ€™s Kappa statistic,Systematic Literature Reviews; Bias Reduction; Study Selection Criteria; Software Engineering; Statistical Methods in Research,Methods and tools for empirical software engineering research,
,,,
,,,
,,,
A classification framework for automated control code generation in industrial automation,Industrial Automation; Control Logic Generation; IEC 61131-3; Automation Software; Case Study Validation,"Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
The effect of transactive memory systems on process tailoring in software projects: The moderating role of task conflict and shared temporal cognitions,Software Process Tailoring; Transactive Memory Systems; Task Conflict; Temporal Cognitions; Team Performance,Human factors and management concerns of software development,
,,,
,,,
Generating summaries for methods of event-driven programs: An Android case study,Source Code Summarization; Event-driven Programs; Deep Neural Networks; Dynamic Call Graphs; Android Development,"Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
A systematic study of reward for reinforcement learning based continuous integration testing,Reinforcement Learning; Continuous Integration Testing; Test Case Prioritization; Reward Functions; Software Testing,"Artificial Intelligence, data analytics and big data applied in software engineering","DevOps, continuous integration, build and test automation"
,,,
,,,
,,,
Integrating UX work with agile development through user stories: An action research study in a small software company,UX Integration; Agile Development; Software-as-a-Service (SaaS); User Stories; Action Research,Human factors and management concerns of software development,
,,,
,,,
TagDC: A tag recommendation method for software information sites with a combination of deep learning and collaborative filtering,Tag Recommendation Systems; Collaborative Filtering; Deep Learning; Software Information Sites; Software Object Understanding,"Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
Neural joint attention code search over structure embeddings for software Q&A sites,Code Search; Neural Networks; Semantic Similarity; Bi-modal Embeddings; Software Q&A,"Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
Secondary studies in the academic context: A systematic mapping and survey,Systematic Literature Review; Software Engineering; Secondary Studies; Research Methodology; Academic Research,Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
Black-box adversarial sample generation based on differential evolution,Deep Neural Networks (DNNs); Adversarial Attacks; Differential Evolution; Robustness Testing; Black-box Attack Techniques,"Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
Scrum versus Rational Unified Process in facing the main challenges of product configuration systems development,Product Configuration Systems; Mass Customization; Software Development; Agile Methodologies; Knowledge Management,"Agile, model-driven, service-oriented, open source and global software development",
,,,
,,,
,,,
,,,
Implementation relations and testing for cyclic systems with refusals and discrete time,Cyclic System Modeling; Reactive Systems; Formal Methods; Implementation Relations; Discrete Time Testing,"Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
Imbalanced metric learning for crashing fault residence prediction,Software Fault Localization; Crash Data Analysis; Metric Learning; Imbalanced Learning; Debugging Automation,"Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
,,,
,,,
