Paper Title,Author Name,Gender,Affiliation,Industrial/Institutional,local_Contribution?,national_collaboration?,International_collaboration?
Systematic literature reviews in software engineeringâ€”enhancement of the study selection process using Cohenâ€™s Kappa statistic,Jorge PÃ©rez,Male,Universidad PolitÃ©cnica de Madrid (Technical University of Madrid),TRUE,1,0,0
,Jessica DÃ­az,Female,Universidad PolitÃ©cnica de Madrid (Technical University of Madrid),,,,
,Javier Garcia-Martin,Male,Universidad PolitÃ©cnica de Madrid (Technical University of Madrid),,,,
,Bernardo Tabuenca,Male,Universidad PolitÃ©cnica de Madrid (Technical University of Madrid),,,,
A classification framework for automated control code generation in industrial automation,Heiko Koziolek,Male,"ABB Corporate Research Center Germany, Wallstadter Str. 59, D-68526 Ladenburg, Germany",FALSE,0,0,1
,Andreas Burger,Male,"ABB Corporate Research Center Germany, Wallstadter Str. 59, D-68526 Ladenburg, Germany",,,,
,Marie Platenius-Mohr,Female,"ABB Corporate Research Center Germany, Wallstadter Str. 59, D-68526 Ladenburg, Germany",,,,
,Raoul Jetley,Male,"ABB Corporate Research, Bhoruka Tech Park, ITPL Main Rd, Mahadevapura, Bengaluru, Karnataka 560048, India",,,,
The effect of transactive memory systems on process tailoring in software projects: The moderating role of task conflict and shared temporal cognitions,Jung-Chieh Lee,Male,"International Business Faculty, Beijing Normal University Zhuhai",TRUE,0,0,1
,Yih-Tsyr Wang,Female,"Department of Information Management, National Central University",,,,
,Chung-Yang Chen,Male,"Department of Information Management, National Central University",,,,
Generating summaries for methods of event-driven programs: An Android case study,Alireza Aghamohammadi,Male,"Department of Computer Engineering, Sharif University of Technology",TRUE,1,0,0
,Maliheh Izadi,Female,"Department of Computer Engineering, Sharif University of Technology",,,,
,Abbas Heydarnoori,Male,"Department of Computer Engineering, Sharif University of Technology",,,,
A systematic study of reward for reinforcement learning based continuous integration testing,Yang Yang,Male,"College of Information Science and Technology, Beijing University of Chemical Technology",TRUE,1,0,0
,Zheng Li,Male,"College of Information Science and Technology, Beijing University of Chemical Technology",,,,
,Liuliu He,Female,"College of Information Science and Technology, Beijing University of Chemical Technology",,,,
,Ruilian Zhao,Female,"College of Information Science and Technology, Beijing University of Chemical Technology",,,,
TagDC: A tag recommendation method for software information sites with a combination of deep learning and collaborative filtering,Can Li,Male,"School of Big Data & Software Engineering, Chongqing University",TRUE,1,0,0
,Ling Xu,Female,"School of Big Data & Software Engineering, Chongqing University",,,,
,Meng Yan,Male,"School of Big Data & Software Engineering, Chongqing University",,,,
,Yan Lei,Male,"School of Big Data & Software Engineering, Chongqing University",,,,
Neural joint attention code search over structure embeddings for software Q&A sites,Gang Hu,Male,"Department of National Engineering Research Center for Multimedia Software, Wuhan University",TRUE,0,0,1
,Min Peng,Male,"Department of National Engineering Research Center for Multimedia Software, Wuhan University",,,,
,Yihan Zhang,Female,"School of Computing, National University of Singapore",,,,
,Qianqian Xie,Female,"Department of National Engineering Research Center for Multimedia Software, Wuhan University",,,,
,Mengting Yuan,Female,"Department of National Engineering Research Center for Multimedia Software, Wuhan University",,,,
Black-box adversarial sample generation based on differential evolution,Junyu Lin,Male,"State Key Laboratory for Novel Software Technology, Nanjing University; Department of Computer Science and Technology, Nanjing University",TRUE,0,0,1
,Lei Xu,Male,"State Key Laboratory for Novel Software Technology, Nanjing University; Department of Computer Science and Technology, Nanjing University",,,,
,Yingqi Liu,Female,"Department of Computer Science, Purdue University",,,,
,Xiangyu Zhang,Male,"Department of Computer Science, Purdue University",,,,
Imbalanced metric learning for crashing fault residence prediction,Zhou Xu,Male,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University, College of Computer Science, Chongqing University",TRUE,0,1,0
,Kunsong Zhao,Male,"School of Computer Science, Wuhan University",,,,
,Meng Yan,Male,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University, PengCheng Laboratory",,,,
,Peipei Yuan,Female,"School of Electronic Information and Communications, Huazhong University of Science and Technology",,,,
,Ling Xu,Female,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University",,,,
,Yan Lei,Male,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University",,,,
,Xiaohong Zhang,Female,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University",,,,
"On the generation, structure, and semantics of grammar patterns in source code identifiers",Christian D. Newman,Male,"Rochester Institute of Technology, Rochester, NY, USA",TRUE,0,0,1
,Reem S. AlSuhaibani,Female,"Kent State University, Kent, OH, USA; Prince Sultan University, Riyadh, Saudi Arabia",,,,
,Michael J. Decker,Male,"Bowling Green State University, Bowling Green, OH, USA",,,,
,Anthony Peruma,Male,"Rochester Institute of Technology, Rochester, NY, USA",,,,
,Dishant Kaushik,Male,"Rochester Institute of Technology, Rochester, NY, USA",,,,
,Mohamed Wiem Mkaouer,Male,"Rochester Institute of Technology, Rochester, NY, USA",,,,
,Emily Hill,Female,"Drew University, Madison, NJ, USA",,,,
From API to NLI: A new interface for library reuse,Qi Shen,Male,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",FALSE,0,1,0
,Shijun Wu,Male,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",,,,
,Yanzhen Zou,Female,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",,,,
,Zixiao Zhu,Male,IBM Research,,,,
,Bing Xie,Male,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",,,,
Evaluating and strategizing the onboarding of software developers in large-scale globally distributed projects,Ricardo Britto,Male,"Ericsson AB, Ã–landsgatan, 371 73, Karlskrona, Sweden; Department of Software Engineering, Blekinge Institute of Technology, Karlskrona, Sweden",FALSE,0,1,0
,Darja Smite,Female,"Department of Software Engineering, Blekinge Institute of Technology, Karlskrona, Sweden",,,,
,Lars-Ola Damm,Male,"Ericsson AB, Ã–landsgatan, 371 73, Karlskrona, Sweden",,,,
,JÃ¼rgen BÃ¶rstler,Male,"Department of Software Engineering, Blekinge Institute of Technology, Karlskrona, Sweden",,,,
CODE reuse in practice: Benefiting or harming technical debt,Daniel Feitosa,Male,"Data Research Centre, University of Groningen, Groningen, the Netherlands",TRUE,0,0,1
,Apostolos Ampatzoglou,Male,"Department of Applied Informatics, University of Macedonia, Thessaloniki, Greece",,,,
,Antonios Gkortzis,Male,"Department of Management Science and Technology, Athens University of Economics and Business, Greece",,,,
,Stamatia Bibi,Female,"Department of Informatics and Telecommunications, University of Western Macedonia, Kozani, Greece",,,,
,Alexander Chatzigeorgiou,Male,"Department of Applied Informatics, University of Macedonia, Thessaloniki, Greece",,,,
"Uncertainty in information system development: Causes, effects, and coping mechanisms",Toni Taipalus,Male,University of Jyvaskyla,TRUE,1,0,0
,Ville SeppÃ¤nen,Male,University of Jyvaskyla,,,,
,Maritta Pirhonen,Female,University of Jyvaskyla,,,,
Achieving agility and quality in product development - an empirical study of hardware startups,VebjÃ¸rn Berg,Male,Norwegian University of Science and Technology,TRUE,0,0,1
,JÃ¸rgen Birkeland,Male,Norwegian University of Science and Technology,,,,
,Anh Nguyen-Duc,Male,University of South-Eastern Norway,,,,
,Ilias O. Pappas,Male,"Norwegian University of Science and Technology, University of Agder",,,,
,Letizia Jaccheri,Female,Norwegian University of Science and Technology,,,,
Integrating GitLab metrics into coursework consultation sessions in a software engineering course,Sukru Eraslan,Male,"Department of Computer Science, University of Manchester",TRUE,0,1,0
,Kamilla Kopec-Harding,Female,"Research IT, University of Manchester",,,,
,Caroline Jay,Female,"Department of Computer Science, University of Manchester",,,,
,Suzanne M. Embury,Female,"Department of Computer Science, University of Manchester",,,,
,Robert Haines,Male,"Research IT, University of Manchester",,,,
,Julio CÃ©sar CortÃ©s RÃ­os,Male,"Department of Computer Science, University of Manchester",,,,
,Peter Crowther,Male,"Research IT, University of Manchester",,,,
Substructure similarity search for engineering service-based systems,Jintao Wu,Male,"Anhui University, School of Computer Science and Technology, Key Laboratory of Quantitative Remote Sensing in Agriculture",FALSE,0,0,1
,Xing Guo,Male,"Anhui University, School of Computer Science and Technology",,,,
,Guijun Yang,Male,"Key Laboratory of Quantitative Remote Sensing in Agriculture, Beijing Research Center for Information Technology in Agriculture",,,,
,Shuhui Wu,Female,"Hefei University of Technology, School of Management",,,,
,Jianguo Wu,Male,"Anhui University, School of Computer Science and Technology",,,,
Relation-based test case prioritization for regression testing,Jianlei Chi,Male,"Ministry of Education Key Lab for Intelligent Network and Network Security, Xiâ€™an Jiaotong University",TRUE,0,0,1
,Yu Qu,Male,"Department of Computer Science and Engineering, University of California, Riverside",,,,
,Qinghua Zheng,Male,"Ministry of Education Key Lab for Intelligent Network and Network Security, Xiâ€™an Jiaotong University",,,,
,Zijiang Yang,Male,"Department of Computer Science, Western Michigan University",,,,
,Wuxia Jin,Female,"Ministry of Education Key Lab for Intelligent Network and Network Security, Xiâ€™an Jiaotong University",,,,
,Di Cui,Female,"Ministry of Education Key Lab for Intelligent Network and Network Security, Xiâ€™an Jiaotong University",,,,
,Ting Liu,Female,"Ministry of Education Key Lab for Intelligent Network and Network Security, Xiâ€™an Jiaotong University",,,,
GAP: Forecasting commit activity in git projects,Alexandre Decan,Male,"Software Engineering Lab, University of Mons, Belgium",TRUE,0,0,1
,Eleni Constantinou,Female,"Software Engineering Lab, University of Mons, Belgium; Eindhoven University of Technology, Netherlands",,,,
,Tom Mens,Male,"Software Engineering Lab, University of Mons, Belgium",,,,
,Henrique Rocha,Male,"Lab On Reengineering (LORE - Ansymo), University of Antwerp, Belgium",,,,
Inner source software development: Current thinking and an agenda for future research,Henry Edison,Male,"Lero, National University of Ireland Galway",TRUE,1,0,0
,Noel Carroll,Male,"Lero, National University of Ireland Galway",,,,
,Lorraine Morgan,Female,"Lero, National University of Ireland Galway",,,,
,Kieran Conboy,Male,"Lero, National University of Ireland Galway",,,,
