Paper Title,Author Name,Gender,Affiliation,Industrial/Institutional,Country,local_Contribution?,national_collaboration?,International_collaboration?
Requirements for adopting software process lines,Halimeh Agh,Female,"Department of Computer Engineering, Sharif University of Technology, Tehran, Iran",TRUE,Iran,0,0,1
,FÃ©lix Garcia,Male,"Alarcos Research Group, Information Technologies and Systems Institute, University of Castilla-La Mancha, Ciudad Real, Spain",,Spain,,,
,Mario Piattini,Male,"Alarcos Research Group, Information Technologies and Systems Institute, University of Castilla-La Mancha, Ciudad Real, Spain",,Spain,,,
,Raman Ramsin,Male,"Department of Computer Engineering, Sharif University of Technology, Tehran, Iran",,Iran,,,
Systematic literature reviews in software engineeringâ€”enhancement of the study selection process using Cohenâ€™s Kappa statistic,Jorge PÃ©rez,Male,Universidad PolitÃ©cnica de Madrid (Technical University of Madrid),TRUE,Spain,1,0,0
,Jessica DÃ­az,Female,Universidad PolitÃ©cnica de Madrid (Technical University of Madrid),,Spain,,,
,Javier Garcia-Martin,Male,Universidad PolitÃ©cnica de Madrid (Technical University of Madrid),,Spain,,,
,Bernardo Tabuenca,Male,Universidad PolitÃ©cnica de Madrid (Technical University of Madrid),,Spain,,,
A classification framework for automated control code generation in industrial automation,Heiko Koziolek,Male,"ABB Corporate Research Center Germany, Wallstadter Str. 59, D-68526 Ladenburg, Germany",FALSE,Germany,0,0,1
,Andreas Burger,Male,"ABB Corporate Research Center Germany, Wallstadter Str. 59, D-68526 Ladenburg, Germany",,Germany,,,
,Marie Platenius-Mohr,Female,"ABB Corporate Research Center Germany, Wallstadter Str. 59, D-68526 Ladenburg, Germany",,Germany,,,
,Raoul Jetley,Male,"ABB Corporate Research, Bhoruka Tech Park, ITPL Main Rd, Mahadevapura, Bengaluru, Karnataka 560048, India",,India,,,
The effect of transactive memory systems on process tailoring in software projects: The moderating role of task conflict and shared temporal cognitions,Jung-Chieh Lee,Male,"International Business Faculty, Beijing Normal University Zhuhai",TRUE,China,0,0,1
,Yih-Tsyr Wang,Female,"Department of Information Management, National Central University",,Taiwan,,,
,Chung-Yang Chen,Male,"Department of Information Management, National Central University",,Taiwan,,,
Generating summaries for methods of event-driven programs: An Android case study,Alireza Aghamohammadi,Male,"Department of Computer Engineering, Sharif University of Technology",TRUE,Iran,1,0,0
,Maliheh Izadi,Female,"Department of Computer Engineering, Sharif University of Technology",,Iran,,,
,Abbas Heydarnoori,Male,"Department of Computer Engineering, Sharif University of Technology",,Iran,,,
A systematic study of reward for reinforcement learning based continuous integration testing,Yang Yang,Male,"College of Information Science and Technology, Beijing University of Chemical Technology",TRUE,China,1,0,0
,Zheng Li,Male,"College of Information Science and Technology, Beijing University of Chemical Technology",,China,,,
,Liuliu He,Female,"College of Information Science and Technology, Beijing University of Chemical Technology",,China,,,
,Ruilian Zhao,Female,"College of Information Science and Technology, Beijing University of Chemical Technology",,China,,,
Integrating UX work with agile development through user stories: An action research study in a small software company,Alisa Ananjeva,Female,"Aalborg University, Computer Science, Denmark",TRUE,Denmark,1,0,0
,John Stouby Persson,Male,"Aalborg University, Computer Science, Denmark",,Denmark,,,
,Anders Bruun,Male,"Aalborg University, Computer Science, Denmark",,Denmark,,,
TagDC: A tag recommendation method for software information sites with a combination of deep learning and collaborative filtering,Can Li,Male,"School of Big Data & Software Engineering, Chongqing University",TRUE,China,1,0,0
,Ling Xu,Female,"School of Big Data & Software Engineering, Chongqing University",,China,,,
,Meng Yan,Male,"School of Big Data & Software Engineering, Chongqing University",,China,,,
,Yan Lei,Male,"School of Big Data & Software Engineering, Chongqing University",,China,,,
Scrum versus Rational Unified Process in facing the main challenges of product configuration systems development,Sara Shafiee,Female,"Department of Mechanical Engineering, Technical University of Denmark",FALSE,Denmark,0,0,1
,Yves Wautelet,Male,"Research Centre for Information Systems Engineering (LIRIS), KU Leuven",,Belgium,,,
,Lars Hvam,Male,"Department of Management Engineering, Technical University of Denmark",,Denmark,,,
,Enrico Sandrin,Male,"Department of Management and Engineering, University of Padova",,Italy,,,
,Cipriano Forza,Male,"Department of Management and Engineering, University of Padova",,Italy,,,
Implementation relations and testing for cyclic systems with refusals and discrete time,Raluca Lefticaru,Female,"Department of Computer Science, University of Bradford, Bradford, UK",TRUE,UK,0,0,1
,Robert M. Hierons,Male,"Department of Computer Science, The University of Sheffield, Sheffield, UK",,UK,,,
,Manuel NÃºÃ±ez,Male,"Design and Testing of Reliable Systems, Universidad Complutense de Madrid, Spain",,Spain,,,
Imbalanced metric learning for crashing fault residence prediction,Zhou Xu,Male,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University, College of Computer Science, Chongqing University",TRUE,China,0,1,0
,Kunsong Zhao,Male,"School of Computer Science, Wuhan University",,China,,,
,Meng Yan,Male,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University, PengCheng Laboratory",,China,,,
,Peipei Yuan,Female,"School of Electronic Information and Communications, Huazhong University of Science and Technology",,China,,,
,Ling Xu,Female,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University",,China,,,
,Yan Lei,Male,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University",,China,,,
,Xiaohong Zhang,Female,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University",,China,,,
Some SonarQube issues have a significant but small effect on faults and changes. A large-scale empirical study,Valentina Lenarduzzi,Female,"LUT University, Lahti, Finland",TRUE,Finland,0,1,0
,Nyyti SaarimÃ¤ki,Female,"Tampere University, Tampere, Finland",,Finland,,,
,Davide Taibi,Male,"Tampere University, Tampere, Finland",,Finland,,,
From API to NLI: A new interface for library reuse,Qi Shen,Male,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",FALSE,China,0,1,0
,Shijun Wu,Male,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",,China,,,
