Female Conceptualization Ratio,Male Conceptualization Ratio,,Female Data_Curation Ratio,Male Data_Curation Ratio,,Female Formal_Analysis Ratio,Male Formal_Analysis Ratio,,Female Funding Acquisition Ratio,Male Funding Acquisition Ratio,,Female Investigation Ratio,Male Investigation Ratio,,Female Methodology Ratio,Male Methodology Ratio,,Female Project Administration Ratio,Male Project Administration Ratio,,Female Resources Ratio,Male Resources Ratio,,Female Software Ratio,Male Software Ratio,,Female Supervision Ratio,Male Supervision Ratio,,Female Validation Ratio,Male Validation Ratio,,Female Visualization Ratio,Male Visualization Ratio,,Female Writing â€“ Original Draft Ratio,Male Writing â€“ Original Draft Ratio,,Female Writing â€“ Review & Editing Ratio,Male Writing â€“ Review & Editing Ratio
1.00,0.00,,1.00,0.00,,1.00,0.00,,0.00,0.00,,1.00,0.33,,1.00,0.00,,0.00,0.33,,0.00,0.67,,0.00,0.00,,0.00,0.67,,0.00,0.33,,0.00,0.00,,1.00,0.00,,0.00,1.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00,0.33,,0.00,0.33,,0.00,0.33,,0.00,0.00,,1.00,0.33,,0.00,0.33,,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.33,,1.00,0.00,,0.00,0.33,,1.00,0.00,,0.00,0.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.00,1.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,,1.00,0.67,,0.00,0.33,,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.33,,0.00,0.00,,0.00,0.33,,0.00,0.33,,1.00,0.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.00,1.00,,0.00,1.00,,0.00,0.00,,0.00,0.00,,1.00,1.00,,1.00,1.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.50,,0.00,0.00,,1.00,1.00,,0.00,1.00,,0.00,1.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
