DOI,Title,Link
10.1016/j.jss.2022.111558,Architectural tactics in software architecture: A systematic mapping study,https://www.sciencedirect.com/science/article/pii/S0164121222002345
10.1016/j.jss.2023.111805,Bugs4Q: A benchmark of existing bugs to enable controlled testing and debugging studies for quantum programs,https://www.sciencedirect.com/science/article/pii/S0164121223002005
10.1016/j.jss.2023.111804,Sentiment overflow in the testing stack: Analyzing software testing posts on Stack Overflow,https://www.sciencedirect.com/science/article/pii/S0164121223001991
10.1016/j.jss.2023.111717,Identifying refactoring opportunities for large packages by analyzing maintainability characteristics in Java OSS,https://www.sciencedirect.com/science/article/pii/S0164121223001127
10.1016/j.jss.2023.111806,Study the correlation between the readme file of GitHub projects and their popularity,https://www.sciencedirect.com/science/article/pii/S0164121223002017
10.1016/j.jss.2023.111803,How are websites used during development and what are the implications for the coding process?,https://www.sciencedirect.com/science/article/pii/S016412122300198X
10.1016/j.jss.2023.111835,Studying the association between Gitcoin’s issues and resolving outcomes,https://www.sciencedirect.com/science/article/pii/S0164121223002303
10.1016/j.jss.2023.111676,Explaining software fault predictions to spreadsheet users,https://www.sciencedirect.com/science/article/pii/S0164121223000717
10.1016/j.jss.2023.111671,Input sensitivity on the performance of configurable systems an empirical study,https://www.sciencedirect.com/science/article/pii/S0164121223000663
10.1016/j.jss.2023.111633,A model-based mode-switching framework based on security vulnerability scores,https://www.sciencedirect.com/science/article/pii/S0164121223000286
10.1016/j.jss.2023.111716,A systematic review on security and safety of self-adaptive systems,https://www.sciencedirect.com/science/article/pii/S0164121223001115
10.1016/j.jss.2023.111840,Continuous verification with acknowledged MAPE-K pattern and time logic-based slicing: A platooning system of systems case study,https://www.sciencedirect.com/science/article/pii/S0164121223002352
10.1016/j.jss.2023.111700,IT managers’ perspective on Technical Debt Management,https://www.sciencedirect.com/science/article/pii/S016412122300095X
10.1016/j.jss.2022.111518,Mapping the structure and evolution of software testing research over the past three decades,https://www.sciencedirect.com/science/article/pii/S0164121222001947
10.1016/j.jss.2023.111802,Generic and industrial scale many-criteria regression test selection,https://www.sciencedirect.com/science/article/pii/S0164121223001978
10.1016/j.jss.2023.111653,Enhancing Ethereum smart-contracts static analysis by computing a precise Control-Flow Graph of Ethereum bytecode,https://www.sciencedirect.com/science/article/pii/S0164121223000481
10.1016/j.jss.2023.111822,VsusFL: Variable-suspiciousness-based Fault Localization for novice programs,https://www.sciencedirect.com/science/article/pii/S0164121223002170
