DOI,Paper_Title,Link
10.1016/j.jss.2023.111838,Impact of data quality for automatic issue classification using pre-trained language models,https://www.sciencedirect.com/science/article/pii/S0164121223002339
10.1016/j.jss.2024.112105,Refactoring react-based Web apps,https://www.sciencedirect.com/science/article/pii/S016412122400150X
10.1016/j.jss.2024.112064,Actionable light-weight process guidance,https://www.sciencedirect.com/science/article/pii/S0164121224001092
10.1016/j.jss.2024.112108,Conversation in forums: How software forum posts discuss potential development insights,https://www.sciencedirect.com/science/article/pii/S0164121224001535
10.1016/j.jss.2023.111942,Edge to cloud tools: A Multivocal Literature Review,https://www.sciencedirect.com/science/article/pii/S0164121223003370
10.1016/j.jss.2023.111906,Monitoring tools for DevOps and microservices: A systematic grey literature review,https://www.sciencedirect.com/science/article/pii/S0164121223003011
10.1016/j.jss.2024.112144,GDPR compliance via software evolution: Weaving security controls in software design,https://www.sciencedirect.com/science/article/pii/S0164121224001894
10.1016/j.jss.2023.111833,Architectural support for software performance in continuous software engineering: A systematic mapping study,https://www.sciencedirect.com/science/article/pii/S0164121223002285
10.1016/j.jss.2024.112106,Pandemic startup software engineering: An experience report on the development of a COVID-19 certificate verification system,https://www.sciencedirect.com/science/article/pii/S0164121224001511
10.1016/j.jss.2024.111965,A qualitative and quantitative analysis of container engines,https://www.sciencedirect.com/science/article/pii/S0164121224000086
10.1016/j.jss.2024.112062,Evaluating software security maturity using OWASP SAMM: Different approaches and stakeholders perceptions,https://www.sciencedirect.com/science/article/pii/S0164121224001079
10.1016/j.jss.2023.111934,A survey on machine learning techniques applied to source code,https://www.sciencedirect.com/science/article/pii/S0164121223003291
10.1016/j.jss.2023.111916,DValidator: An approach for validating dependencies in build configurations,https://www.sciencedirect.com/science/article/pii/S0164121223003114
10.1016/j.jss.2024.112109,Deep semi-supervised learning for recovering traceability links between issues and commits,https://www.sciencedirect.com/science/article/pii/S0164121224001547
10.1016/j.jss.2024.111985,The influence of the city metaphor and its derivates in software visualization,https://www.sciencedirect.com/science/article/pii/S0164121224000281
10.1016/j.jss.2023.111943,"Processes, methods, and tools in model-based engineering—A qualitative multiple-case study",https://www.sciencedirect.com/science/article/pii/S0164121223003382
10.1016/j.jss.2023.111909,Not all requirements prioritization criteria are equal at all times: A quantitative analysis,https://www.sciencedirect.com/science/article/pii/S0164121223003047
10.1016/j.jss.2024.112110,Microservice API Evolution in Practice: A Study on Strategies and Challenges,https://www.sciencedirect.com/science/article/pii/S0164121224001559
10.1016/j.jss.2024.112053,Identifying concerns when specifying machine learning-enabled systems: A perspective-based approach,https://www.sciencedirect.com/science/article/pii/S0164121224000980
