Paper Title,Study Domain Terms,Author Name,Gender,Affiliation,Country,Conceptualization,Data Curation,Formal Analysis,Funding Acquisition,Investigation,Methodology,Project Administration,Resources,Software,Supervision,Validation,Visualization,Writing – Original Draft,Writing – Review & Editing
Requirements for adopting software process lines,Software Process Lines; Method Tailoring; Requirements Engineering; Systematic Mapping Study; Software Product Lines,Halimeh Agh,Female,"Department of Computer Engineering, Sharif University of Technology, Tehran, Iran",Iran,1,1,1,0,1,1,0,0,0,0,0,0,1,0
,,Félix Garcia,Male,"Alarcos Research Group, Information Technologies and Systems Institute, University of Castilla-La Mancha, Ciudad Real, Spain",Spain,0,0,0,0,1,0,0,1,0,1,1,0,0,1
,,Mario Piattini,Male,"Alarcos Research Group, Information Technologies and Systems Institute, University of Castilla-La Mancha, Ciudad Real, Spain",Spain,0,0,0,0,0,0,1,1,0,1,0,0,0,1
,,Raman Ramsin,Male,"Department of Computer Engineering, Sharif University of Technology, Tehran, Iran",Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Systematic literature reviews in software engineering—enhancement of the study selection process using Cohen’s Kappa statistic,Systematic Literature Reviews; Bias Reduction; Study Selection Criteria; Software Engineering; Statistical Methods in Research,Jorge Pérez,Male,Universidad Politécnica de Madrid (Technical University of Madrid),Spain,1,0,1,0,0,1,0,0,0,1,0,0,0,0
,,Jessica Díaz,Female,Universidad Politécnica de Madrid (Technical University of Madrid),Spain,0,0,0,0,1,0,0,0,0,0,1,0,1,0
,,Javier Garcia-Martin,Male,Universidad Politécnica de Madrid (Technical University of Madrid),Spain,0,1,0,0,1,0,0,0,0,0,0,0,0,1
,,Bernardo Tabuenca,Male,Universidad Politécnica de Madrid (Technical University of Madrid),Spain,0,0,0,0,0,0,0,0,0,0,0,1,0,1
A classification framework for automated control code generation in industrial automation,Industrial Automation; Control Logic Generation; IEC 61131-3; Automation Software; Case Study Validation,Heiko Koziolek,Male,"ABB Corporate Research Center Germany, Wallstadter Str. 59, D-68526 Ladenburg, Germany",Germany,1,0,0,0,0,1,0,0,0,1,0,1,1,0
,,Andreas Burger,Male,"ABB Corporate Research Center Germany, Wallstadter Str. 59, D-68526 Ladenburg, Germany",Germany,1,0,0,0,1,0,0,0,0,0,0,0,0,1
,,Marie Platenius-Mohr,Female,"ABB Corporate Research Center Germany, Wallstadter Str. 59, D-68526 Ladenburg, Germany",Germany,1,0,0,0,1,0,0,0,0,0,0,0,0,1
,,Raoul Jetley,Male,"ABB Corporate Research, Bhoruka Tech Park, ITPL Main Rd, Mahadevapura, Bengaluru, Karnataka 560048, India",India,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Job-work fit as a determinant of the acceptance of large-scale agile methodology,Agile Methodology; Large-Scale Agile; Methodology Acceptance; Software Development; Job-Work Fit,Dinesh Batra,Male,"IS and Business Analytics, Florida International University",United States,1,0,1,0,1,1,0,1,0,0,0,0,1,1
The effect of transactive memory systems on process tailoring in software projects: The moderating role of task conflict and shared temporal cognitions,Software Process Tailoring; Transactive Memory Systems; Task Conflict; Temporal Cognitions; Team Performance,Jung-Chieh Lee,Male,"International Business Faculty, Beijing Normal University Zhuhai",China,1,1,0,0,1,1,0,0,0,0,0,1,1,1
,,Yih-Tsyr Wang,Female,"Department of Information Management, National Central University",Taiwan,1,0,0,0,1,1,0,0,0,0,0,1,0,0
,,Chung-Yang Chen,Male,"Department of Information Management, National Central University",Taiwan,1,1,0,0,1,1,0,0,0,1,0,1,1,1
Finding faults: A scoping study of fault diagnostics for Industrial Cyber–Physical Systems,Industrial Cyber–Physical Systems; Fault Diagnostics; Aerospace; Automotive; Machine Learning,Barry Dowdeswell,Male,Auckland University of Technology,New Zealand,1,1,0,0,1,1,1,0,0,0,0,0,1,1
,,Roopak Sinha,Male,Auckland University of Technology,New Zealand,1,0,0,0,0,1,0,0,0,1,1,0,0,1
,,Stephen G. MacDonell,Male,Auckland University of Technology,New Zealand,1,0,0,0,0,1,0,0,0,1,0,0,0,0
