Paper Title,Total Authors,Female Authors,lead?,Local_Collaboration?,national_collaboration?,International_collaboration?,Study Domain Terms,Author Name,Gender,Affiliation,Country,Conceptualization,Data Curation,Formal Analysis,Funding Acquisition,Investigation,Methodology,Project Administration,Resources,Software,Supervision,Validation,Visualization,Writing – Original Draft,Writing – Review & Editing,Total Authors,Female Authors
A-B Testing: A Systematic Literature Review,4,1,0,0,0,1,A/B Testing; Online Controlled Experiments; Experimentation Frameworks; Data-Driven Decision Making; Hypothesis Testing,Federico Quin,Male,KU Leuven,Belgium,1,1,0,0,0,1,1,0,1,0,0,1,1,1,4,1
,,,,,,,,Danny Weyns,Male,Linnaeus University,Sweden,1,0,0,0,0,1,1,0,0,1,0,0,0,1,,
,,,,,,,,Matthias Galster,Male,University of Canterbury,New Zealand,0,0,0,0,0,1,0,0,0,1,0,0,0,1,,
,,,,,,,,Camila Costa Silva,Female,University of Canterbury,New Zealand,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,
A case study on the development of the German Corona-Warn-App,6,0,0,0,0,1,COVID-19 apps; Software development; Contact tracing; Pandemic response; Emergency software development,Mohamad Fawaz Enaya,Male,"SAP SE, Walldorf",Germany,1,1,0,0,1,1,0,1,0,0,0,1,1,1,6,0
,,,,,,,,Thomas Klingbeil,Male,"SAP SE, Walldorf",Germany,0,0,0,0,1,0,0,1,0,0,0,0,0,1,,
,,,,,,,,Jacob Krüger,Male,Eindhoven University of Technology,Netherlands,0,0,0,0,0,1,0,0,0,1,0,1,1,1,,
,,,,,,,,David Broneske,Male,"DZHW, Hannover",Germany,1,0,0,0,0,1,0,0,0,1,0,0,1,1,,
,,,,,,,,Frank Feinbube,Male,"SAP SE, Walldorf",Germany,1,0,0,0,0,1,1,1,0,1,0,0,1,1,,
,,,,,,,,Gunter Saake,Male,Otto-von-Guericke University Magdeburg,Germany,1,0,0,0,0,0,1,0,0,1,0,0,0,1,,
ACCESS: Assurance Case Centric Engineering of Safety–critical Systems,10,1,0,0,0,1,Safety–critical systems; Assurance cases; Formal methods; Robotics; Autonomous Systems,Ran Wei,Male,"University of Cambridge
University of Lancester",UK,1,0,0,0,1,1,0,0,0,0,1,0,1,1,10,1
,,,,,,,,Simon Foster,Male,University of York,UK,1,0,0,0,1,1,0,0,1,1,1,0,1,1,,
,,,,,,,,Haitao Mei,Male,University of York,UK,1,0,0,0,0,1,0,0,0,1,0,0,0,1,,
,,,,,,,,Fang Yan,Female,University of York,UK,1,0,0,0,0,1,0,0,0,0,0,0,0,1,,
,,,,,,,,Ruizhe Yang,Male,Dalian University of Technology,China,1,0,0,0,0,1,0,0,0,0,0,0,1,1,,
,,,,,,,,Ibrahim Habli,Male,University of York,UK,1,0,0,0,0,1,0,0,0,1,1,0,1,1,,
,,,,,,,,Colin O’Halloran,Male,D-RisQ Ltd.,UK,1,0,0,0,0,1,0,1,0,0,0,0,0,1,,
,,,,,,,,Nick Tudor,Male,D-RisQ Ltd.,UK,1,0,0,0,0,1,0,1,0,0,0,0,0,1,,
,,,,,,,,Tim Kelly,Male,University of York,UK,1,0,0,0,0,1,0,0,0,1,0,0,0,1,,
,,,,,,,,Yakoub Nemouchi,Male,University of York,UK,1,0,0,0,0,1,0,0,0,1,0,0,0,1,,
A cloud-based data processing and visualization pipeline for the fibre roll-out in Germany,6,0,0,0,1,0,"Geospatial Data, Cloud Computing, Big Data, 3D Visualization, FTTH",Michel Krämer,Male,"Fraunhofer Institute for Computer Graphics Research IGD, Technical University of Darmstadt",Germany,1,0,0,0,0,0,1,0,1,0,0,0,1,0,6,0
,,,,,,,,Pascal Bormann,Male,"Fraunhofer Institute for Computer Graphics Research IGD, Technical University of Darmstadt",Germany,1,0,0,0,0,0,0,0,1,0,0,1,1,0,,
,,,,,,,,Hendrik M. Würz,Male,"Fraunhofer Institute for Computer Graphics Research IGD, Technical University of Darmstadt",Germany,1,0,0,0,0,0,0,0,1,0,0,0,1,0,,
,,,,,,,,Kevin Kocon,Male,"Fraunhofer Institute for Computer Graphics Research IGD, Technical University of Darmstadt",Germany,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,
,,,,,,,,Tobias Frechen,Male,Deutsche Telekom IT GmbH,Germany,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,
,,,,,,,,Jonas Schmid,Male,Deutsche Telekom Technik GmbH,Germany,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,
A conceptual and architectural characterization of antifragile systems,3,1,0,0,0,1,"Information and Communications Technology, Antifragility, Dependability, System Design, Trustworthy Systems",Vincenzo Grassi,Male,Università di Roma Tor Vergata,Italy,1,0,0,0,1,1,0,0,0,0,0,1,1,1,3,1
,,,,,,,,Raffaela Mirandola,Female,Karlsruhe Institute of Technology (KIT),Germany,1,0,0,0,1,1,0,0,0,0,0,1,1,1,,
,,,,,,,,Diego Perez-Palacin,Male,Linnaeus University,Sweden,1,0,0,0,1,1,0,0,1,0,0,1,1,1,,
Actionable light-weight process guidance,6,2,0,0,1,0,"Software Engineering, QA, Process Guidance, Safety-Critical, Open Source",Christoph Mayr-Dorn,Male,"Johannes Kepler University, Linz, Austria",Austria,1,1,0,1,1,1,0,1,1,0,1,1,1,1,6,2
,,,,,,,,Cosmina-Cristina Ratiu,Female,"Johannes Kepler University, Linz, Austria",Austria,0,1,0,0,1,0,0,0,1,0,0,0,1,0,,
,,,,,,,,Luciano Marchezan de Paula,Male,"Johannes Kepler University, Linz, Austria",Austria,0,0,0,0,1,1,0,0,0,0,0,0,1,0,,
,,,,,,,,Felix Keplinger,Male,"Johannes Kepler University, Linz, Austria",Austria,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,
,,,,,,,,Alexander Egyed,Male,"Johannes Kepler University, Linz, Austria",Austria,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,
,,,,,,,,Gala Walden,Female,"Robert Bosch AG, Vienna, Austria",Austria,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,
Adaptive data quality scoring operations framework using drift-aware mechanism for industrial applications,3,0,0,0,0,1,"AI, data quality, dynamic dimensions, framework, industrial applications",Firas Bayram,Male,"Department of Mathematics and Computer Science, Karlstad, Sweden",Sweden,1,1,0,0,1,1,0,0,1,0,1,0,1,0,3,0
,,,,,,,,Bestoun S. Ahmed,Male,"Department of Mathematics and Computer Science, Karlstad, Sweden; Department of Computer Science, Czech Technical University, Prague, Czech Republic","Sweden, Czech Republic",1,0,1,1,1,1,1,0,1,1,1,0,1,1,,
,,,,,,,,Erik Hallin,Male,"Uddeholms AB, Hagfors, Sweden",Sweden,0,1,0,0,0,0,0,1,1,0,1,0,0,1,,
A data-driven active learning approach to reusing ML solutions in scientific applications,4,2,1,1,1,0,Machine learning reuse; Active learning; Scientific applications; Data-driven methods; Image segmentation,Hamideh Hajiabadi,Female,Karlsruhe Institute of Technology,Germany,1,0,0,0,0,1,1,1,0,0,1,0,1,1,4,2
,,,,,,,,Christopher Gerking,Male,Karlsruhe Institute of Technology,Germany,1,0,0,0,1,1,0,0,0,0,0,0,1,0,,
,,,,,,,,Lennart Hilbert,Male,Karlsruhe Institute of Technology,Germany,1,1,0,0,0,1,0,0,0,1,0,0,0,0,,
,,,,,,,,Anne Koziolek,Female,Karlsruhe Institute of Technology,Germany,1,0,0,0,0,1,0,0,0,1,1,0,0,0,,
Addressing combinatorial experiments and scarcity of subjects by provably orthogonal and crossover experimental designs,3,2,0,0,0,1,"Software engineering, Security, DoE, Orthogonal designs, Crossover designs",Fabio Massacci,Male,"University of Trento, Vrije Universiteit Amsterdam","Italy, Netherlands",1,1,1,1,1,1,1,1,1,1,0,0,1,1,3,2
,,,,,,,,Aurora Papotti,Female,Vrije Universiteit Amsterdam,Netherlands,1,1,0,0,1,0,0,1,1,0,1,1,1,1,,
,,,,,,,,Ranindya Paramitha,Female,University of Trento,Italy,1,1,0,0,1,0,0,1,1,0,1,1,1,1,,
Advancing modern code review effectiveness through human error mechanisms,2,0,0,0,0,1,"code review, human error, software defects, defect detection, experiment validation",Fuqun Huang,Male,"Department of Computer Science, Western Washington University, Bellingham, WA 98225, USA",USA,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,0
