Paper Title,Study Domain Terms,Author Name,Gender,gender_annotation,Affiliation,UniqueInstituteCount,Country,UniqueCountryCount,Total Authors,Female Authors,Female_lead?,Male_lead?,local_Contribution?,national_collaboration?,International_collaboration?,FemaleLedLocalCollaboration,MaleLedLocalCollaboration,FemaleLedNationalCollaboration,MaleLedNationalCollaboration,FemaleLedInternationalCollaboration,MaleLedInternationalCollaboration
Requirements for adopting software process lines,Software Process Lines; Method Tailoring; Requirements Engineering; Systematic Mapping Study; Software Product Lines,Halimeh Agh,Female,1,"Department of Computer Engineering, Sharif University of Technology, Tehran, Iran",2,Iran,2,4,1,1,0,0,0,1,0,0,0,0,1,0
,,FÃ©lix Garcia,Male,0,"Alarcos Research Group, Information Technologies and Systems Institute, University of Castilla-La Mancha, Ciudad Real, Spain",,Spain,,,,,,,,,0,0,0,0,0,0
,,Mario Piattini,Male,0,"Alarcos Research Group, Information Technologies and Systems Institute, University of Castilla-La Mancha, Ciudad Real, Spain",,Spain,,,,,,,,,0,0,0,0,0,0
,,Raman Ramsin,Male,0,"Department of Computer Engineering, Sharif University of Technology, Tehran, Iran",,Iran,,,,,,,,,0,0,0,0,0,0
Systematic literature reviews in software engineeringâ€”enhancement of the study selection process using Cohenâ€™s Kappa statistic,Systematic Literature Reviews; Bias Reduction; Study Selection Criteria; Software Engineering; Statistical Methods in Research,Jorge PÃ©rez,Male,0,Universidad PolitÃ©cnica de Madrid (Technical University of Madrid),1,Spain,1,4,1,0,1,1,1,0,0,1,0,1,0,0
,,Jessica DÃ­az,Female,1,Universidad PolitÃ©cnica de Madrid (Technical University of Madrid),,Spain,,,,,,,,,0,0,0,0,0,0
,,Javier Garcia-Martin,Male,0,Universidad PolitÃ©cnica de Madrid (Technical University of Madrid),,Spain,,,,,,,,,0,0,0,0,0,0
,,Bernardo Tabuenca,Male,0,Universidad PolitÃ©cnica de Madrid (Technical University of Madrid),,Spain,,,,,,,,,0,0,0,0,0,0
A classification framework for automated control code generation in industrial automation,Industrial Automation; Control Logic Generation; IEC 61131-3; Automation Software; Case Study Validation,Heiko Koziolek,Male,0,"ABB Corporate Research Center Germany, Wallstadter Str. 59, D-68526 Ladenburg, Germany",2,Germany,2,4,1,0,1,0,0,1,0,0,0,0,0,1
,,Andreas Burger,Male,0,"ABB Corporate Research Center Germany, Wallstadter Str. 59, D-68526 Ladenburg, Germany",,Germany,,,,,,,,,0,0,0,0,0,0
,,Marie Platenius-Mohr,Female,1,"ABB Corporate Research Center Germany, Wallstadter Str. 59, D-68526 Ladenburg, Germany",,Germany,,,,,,,,,0,0,0,0,0,0
,,Raoul Jetley,Male,0,"ABB Corporate Research, Bhoruka Tech Park, ITPL Main Rd, Mahadevapura, Bengaluru, Karnataka 560048, India",,India,,,,,,,,,0,0,0,0,0,0
The effect of transactive memory systems on process tailoring in software projects: The moderating role of task conflict and shared temporal cognitions,Software Process Tailoring; Transactive Memory Systems; Task Conflict; Temporal Cognitions; Team Performance,Jung-Chieh Lee,Male,0,"International Business Faculty, Beijing Normal University Zhuhai",2,China,2,3,1,0,1,0,0,1,0,0,0,0,0,1
,,Yih-Tsyr Wang,Female,1,"Department of Information Management, National Central University",,Taiwan,,,,,,,,,0,0,0,0,0,0
,,Chung-Yang Chen,Male,0,"Department of Information Management, National Central University",,Taiwan,,,,,,,,,0,0,0,0,0,0
Generating summaries for methods of event-driven programs: An Android case study,Source Code Summarization; Event-driven Programs; Deep Neural Networks; Dynamic Call Graphs; Android Development,Alireza Aghamohammadi,Male,0,"Department of Computer Engineering, Sharif University of Technology",1,Iran,1,3,1,0,1,1,1,0,0,1,0,1,0,0
,,Maliheh Izadi,Female,1,"Department of Computer Engineering, Sharif University of Technology",,Iran,,,,,,,,,0,0,0,0,0,0
,,Abbas Heydarnoori,Male,0,"Department of Computer Engineering, Sharif University of Technology",,Iran,,,,,,,,,0,0,0,0,0,0
A systematic study of reward for reinforcement learning based continuous integration testing,Reinforcement Learning; Continuous Integration Testing; Test Case Prioritization; Reward Functions; Software Testing,Yang Yang,Male,0,"College of Information Science and Technology, Beijing University of Chemical Technology",1,China,1,4,2,0,1,1,1,0,0,1,0,1,0,0
,,Zheng Li,Male,0,"College of Information Science and Technology, Beijing University of Chemical Technology",,China,,,,,,,,,0,0,0,0,0,0
,,Liuliu He,Female,1,"College of Information Science and Technology, Beijing University of Chemical Technology",,China,,,,,,,,,0,0,0,0,0,0
,,Ruilian Zhao,Female,1,"College of Information Science and Technology, Beijing University of Chemical Technology",,China,,,,,,,,,0,0,0,0,0,0
Integrating UX work with agile development through user stories: An action research study in a small software company,UX Integration; Agile Development; Software-as-a-Service (SaaS); User Stories; Action Research,Alisa Ananjeva,Female,1,"Aalborg University, Computer Science, Denmark",1,Denmark,1,3,1,1,0,1,1,0,1,0,1,0,0,0
,,John Stouby Persson,Male,0,"Aalborg University, Computer Science, Denmark",,Denmark,,,,,,,,,0,0,0,0,0,0
,,Anders Bruun,Male,0,"Aalborg University, Computer Science, Denmark",,Denmark,,,,,,,,,0,0,0,0,0,0
TagDC: A tag recommendation method for software information sites with a combination of deep learning and collaborative filtering,Tag Recommendation Systems; Collaborative Filtering; Deep Learning; Software Information Sites; Software Object Understanding,Can Li,Male,0,"School of Big Data & Software Engineering, Chongqing University",1,China,1,4,1,0,1,1,1,0,0,1,0,1,0,0
,,Ling Xu,Female,1,"School of Big Data & Software Engineering, Chongqing University",,China,,,,,,,,,0,0,0,0,0,0
,,Meng Yan,Male,0,"School of Big Data & Software Engineering, Chongqing University",,China,,,,,,,,,0,0,0,0,0,0
,,Yan Lei,Male,0,"School of Big Data & Software Engineering, Chongqing University",,China,,,,,,,,,0,0,0,0,0,0
Neural joint attention code search over structure embeddings for software Q&A sites,Code Search; Neural Networks; Semantic Similarity; Bi-modal Embeddings; Software Q&A,Gang Hu,Male,0,"Department of National Engineering Research Center for Multimedia Software, Wuhan University",2,China,2,5,3,0,1,0,0,1,0,0,0,0,0,1
,,Min Peng,Male,0,"Department of National Engineering Research Center for Multimedia Software, Wuhan University",,China,,,,,,,,,0,0,0,0,0,0
,,Yihan Zhang,Female,1,"School of Computing, National University of Singapore",,Singapore,,,,,,,,,0,0,0,0,0,0
,,Qianqian Xie,Female,1,"Department of National Engineering Research Center for Multimedia Software, Wuhan University",,China,,,,,,,,,0,0,0,0,0,0
,,Mengting Yuan,Female,1,"Department of National Engineering Research Center for Multimedia Software, Wuhan University",,China,,,,,,,,,0,0,0,0,0,0
Secondary studies in the academic context: A systematic mapping and survey,Systematic Literature Review; Software Engineering; Secondary Studies; Research Methodology; Academic Research,Katia Romero Felizardo,Female,1,"Federal University of Technology - ParanÃ¡ (UTFPR), Brazil",3,Brazil,2,5,4,1,0,0,0,1,0,0,0,0,1,0
,,Ã‰rica Ferreira de Souza,Female,1,"Federal University of Technology - ParanÃ¡ (UTFPR), Brazil",,Brazil,,,,,,,,,0,0,0,0,0,0
,,Bianca Minetto NapoleÃ£o,Female,1,"Federal University of Technology - ParanÃ¡ (UTFPR), Brazil",,Brazil,,,,,,,,,0,0,0,0,0,0
,,Nandamudi Lankalapalli Vijaykumar,Male,0,"National Institute for Space Research (INPE), Federal University of SÃ£o Paulo (Unifesp), Brazil",,Brazil,,,,,,,,,0,0,0,0,0,0
,,Maria Teresa Baldassarre,Female,1,"UniversitÃ  degli Studi di Bari Aldo Moro, Italy",,Italy,,,,,,,,,0,0,0,0,0,0
Black-box adversarial sample generation based on differential evolution,Deep Neural Networks (DNNs); Adversarial Attacks; Differential Evolution; Robustness Testing; Black-box Attack Techniques,Junyu Lin,Male,0,"State Key Laboratory for Novel Software Technology, Nanjing University; Department of Computer Science and Technology, Nanjing University",2,China,2,4,1,0,1,0,0,1,0,0,0,0,0,1
,,Lei Xu,Male,0,"State Key Laboratory for Novel Software Technology, Nanjing University; Department of Computer Science and Technology, Nanjing University",,China,,,,,,,,,0,0,0,0,0,0
,,Yingqi Liu,Female,1,"Department of Computer Science, Purdue University",,USA,,,,,,,,,0,0,0,0,0,0
,,Xiangyu Zhang,Male,0,"Department of Computer Science, Purdue University",,USA,,,,,,,,,0,0,0,0,0,0
Scrum versus Rational Unified Process in facing the main challenges of product configuration systems development,Product Configuration Systems; Mass Customization; Software Development; Agile Methodologies; Knowledge Management,Sara Shafiee,Female,1,"Department of Mechanical Engineering, Technical University of Denmark",4,Denmark,3,5,1,1,0,0,0,1,0,0,0,0,1,0
,,Yves Wautelet,Male,0,"Research Centre for Information Systems Engineering (LIRIS), KU Leuven",,Belgium,,,,,,,,,0,0,0,0,0,0
,,Lars Hvam,Male,0,"Department of Management Engineering, Technical University of Denmark",,Denmark,,,,,,,,,0,0,0,0,0,0
,,Enrico Sandrin,Male,0,"Department of Management and Engineering, University of Padova",,Italy,,,,,,,,,0,0,0,0,0,0
,,Cipriano Forza,Male,0,"Department of Management and Engineering, University of Padova",,Italy,,,,,,,,,0,0,0,0,0,0
