Paper Title,Study Domain Terms,Author Name,Gender,gender_annotation,Affiliation,Unique Institute Count,Country,Unique Country Count,Total Authors,Female Authors,Female_lead?,Male_lead?,local_Contribution?,national_collaboration?,International_collaboration?,Supervision,FemaleSupervision,MaleSupervision
Requirements for adopting software process lines,Software Process Lines; Method Tailoring; Requirements Engineering; Systematic Mapping Study; Software Product Lines,Halimeh Agh,Female,1,"Department of Computer Engineering, Sharif University of Technology, Tehran, Iran",2,Iran,2,4,1,1,0,0,0,1,0,0,0
,,FÃ©lix Garcia,Male,0,"Alarcos Research Group, Information Technologies and Systems Institute, University of Castilla-La Mancha, Ciudad Real, Spain",,Spain,,,,,,,,,1,0,1
,,Mario Piattini,Male,0,"Alarcos Research Group, Information Technologies and Systems Institute, University of Castilla-La Mancha, Ciudad Real, Spain",,Spain,,,,,,,,,1,0,1
,,Raman Ramsin,Male,0,"Department of Computer Engineering, Sharif University of Technology, Tehran, Iran",,Iran,,,,,,,,,0,0,0
Systematic literature reviews in software engineeringâ€”enhancement of the study selection process using Cohenâ€™s Kappa statistic,Systematic Literature Reviews; Bias Reduction; Study Selection Criteria; Software Engineering; Statistical Methods in Research,Jorge PÃ©rez,Male,0,Universidad PolitÃ©cnica de Madrid (Technical University of Madrid),1,Spain,1,4,1,0,1,1,1,0,1,0,1
,,Jessica DÃ­az,Female,1,Universidad PolitÃ©cnica de Madrid (Technical University of Madrid),,Spain,,,,,,,,,0,0,0
,,Javier Garcia-Martin,Male,0,Universidad PolitÃ©cnica de Madrid (Technical University of Madrid),,Spain,,,,,,,,,0,0,0
,,Bernardo Tabuenca,Male,0,Universidad PolitÃ©cnica de Madrid (Technical University of Madrid),,Spain,,,,,,,,,0,0,0
A classification framework for automated control code generation in industrial automation,Industrial Automation; Control Logic Generation; IEC 61131-3; Automation Software; Case Study Validation,Heiko Koziolek,Male,0,"ABB Corporate Research Center Germany, Wallstadter Str. 59, D-68526 Ladenburg, Germany",2,Germany,2,4,1,0,1,0,0,1,1,0,1
,,Andreas Burger,Male,0,"ABB Corporate Research Center Germany, Wallstadter Str. 59, D-68526 Ladenburg, Germany",,Germany,,,,,,,,,0,0,0
,,Marie Platenius-Mohr,Female,1,"ABB Corporate Research Center Germany, Wallstadter Str. 59, D-68526 Ladenburg, Germany",,Germany,,,,,,,,,0,0,0
,,Raoul Jetley,Male,0,"ABB Corporate Research, Bhoruka Tech Park, ITPL Main Rd, Mahadevapura, Bengaluru, Karnataka 560048, India",,India,,,,,,,,,0,0,0
The effect of transactive memory systems on process tailoring in software projects: The moderating role of task conflict and shared temporal cognitions,Software Process Tailoring; Transactive Memory Systems; Task Conflict; Temporal Cognitions; Team Performance,Jung-Chieh Lee,Male,0,"International Business Faculty, Beijing Normal University Zhuhai",2,China,2,3,1,0,1,0,0,1,0,0,0
,,Yih-Tsyr Wang,Female,1,"Department of Information Management, National Central University",,Taiwan,,,,,,,,,0,0,0
,,Chung-Yang Chen,Male,0,"Department of Information Management, National Central University",,Taiwan,,,,,,,,,1,0,1
Generating summaries for methods of event-driven programs: An Android case study,Source Code Summarization; Event-driven Programs; Deep Neural Networks; Dynamic Call Graphs; Android Development,Alireza Aghamohammadi,Male,0,"Department of Computer Engineering, Sharif University of Technology",1,Iran,1,3,1,0,1,1,1,0,0,0,0
,,Maliheh Izadi,Female,1,"Department of Computer Engineering, Sharif University of Technology",,Iran,,,,,,,,,0,0,0
,,Abbas Heydarnoori,Male,0,"Department of Computer Engineering, Sharif University of Technology",,Iran,,,,,,,,,1,0,1
A systematic study of reward for reinforcement learning based continuous integration testing,Reinforcement Learning; Continuous Integration Testing; Test Case Prioritization; Reward Functions; Software Testing,Yang Yang,Male,0,"College of Information Science and Technology, Beijing University of Chemical Technology",1,China,1,4,2,0,1,1,1,0,0,0,0
,,Zheng Li,Male,0,"College of Information Science and Technology, Beijing University of Chemical Technology",,China,,,,,,,,,1,0,1
,,Liuliu He,Female,1,"College of Information Science and Technology, Beijing University of Chemical Technology",,China,,,,,,,,,0,0,0
,,Ruilian Zhao,Female,1,"College of Information Science and Technology, Beijing University of Chemical Technology",,China,,,,,,,,,0,0,0
Integrating UX work with agile development through user stories: An action research study in a small software company,UX Integration; Agile Development; Software-as-a-Service (SaaS); User Stories; Action Research,Alisa Ananjeva,Female,1,"Aalborg University, Computer Science, Denmark",1,Denmark,1,3,1,1,0,1,1,0,0,0,0
,,John Stouby Persson,Male,0,"Aalborg University, Computer Science, Denmark",,Denmark,,,,,,,,,1,0,1
,,Anders Bruun,Male,0,"Aalborg University, Computer Science, Denmark",,Denmark,,,,,,,,,1,0,1
TagDC: A tag recommendation method for software information sites with a combination of deep learning and collaborative filtering,Tag Recommendation Systems; Collaborative Filtering; Deep Learning; Software Information Sites; Software Object Understanding,Can Li,Male,0,"School of Big Data & Software Engineering, Chongqing University",1,China,1,4,1,0,1,1,1,0,0,0,0
,,Ling Xu,Female,1,"School of Big Data & Software Engineering, Chongqing University",,China,,,,,,,,,0,0,0
,,Meng Yan,Male,0,"School of Big Data & Software Engineering, Chongqing University",,China,,,,,,,,,1,0,1
,,Yan Lei,Male,0,"School of Big Data & Software Engineering, Chongqing University",,China,,,,,,,,,0,0,0
Scrum versus Rational Unified Process in facing the main challenges of product configuration systems development,Product Configuration Systems; Mass Customization; Software Development; Agile Methodologies; Knowledge Management,Sara Shafiee,Female,1,"Department of Mechanical Engineering, Technical University of Denmark",4,Denmark,3,5,1,1,0,0,0,1,0,0,0
,,Yves Wautelet,Male,0,"Research Centre for Information Systems Engineering (LIRIS), KU Leuven",,Belgium,,,,,,,,,0,0,0
,,Lars Hvam,Male,0,"Department of Management Engineering, Technical University of Denmark",,Denmark,,,,,,,,,1,0,1
,,Enrico Sandrin,Male,0,"Department of Management and Engineering, University of Padova",,Italy,,,,,,,,,0,0,0
,,Cipriano Forza,Male,0,"Department of Management and Engineering, University of Padova",,Italy,,,,,,,,,0,0,0
Implementation relations and testing for cyclic systems with refusals and discrete time,Cyclic System Modeling; Reactive Systems; Formal Methods; Implementation Relations; Discrete Time Testing,Raluca Lefticaru,Female,1,"Department of Computer Science, University of Bradford, Bradford, UK",3,UK,2,3,1,1,0,0,0,1,0,0,0
,,Robert M. Hierons,Male,0,"Department of Computer Science, The University of Sheffield, Sheffield, UK",,UK,,,,,,,,,1,0,1
,,Manuel NÃºÃ±ez,Male,0,"Design and Testing of Reliable Systems, Universidad Complutense de Madrid, Spain",,Spain,,,,,,,,,1,0,1
Imbalanced metric learning for crashing fault residence prediction,Software Fault Localization; Crash Data Analysis; Metric Learning; Imbalanced Learning; Debugging Automation,Zhou Xu,Male,0,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University, College of Computer Science, Chongqing University",5,China,1,7,3,0,1,0,1,0,0,0,0
,,Kunsong Zhao,Male,0,"School of Computer Science, Wuhan University",,China,,,,,,,,,0,0,0
,,Meng Yan,Male,0,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University, PengCheng Laboratory",,China,,,,,,,,,1,0,1
,,Peipei Yuan,Female,1,"School of Electronic Information and Communications, Huazhong University of Science and Technology",,China,,,,,,,,,0,0,0
,,Ling Xu,Female,1,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University",,China,,,,,,,,,0,0,0
,,Yan Lei,Male,0,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University",,China,,,,,,,,,0,0,0
,,Xiaohong Zhang,Female,1,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University",,China,,,,,,,,,0,0,0
Some SonarQube issues have a significant but small effect on faults and changes. A large-scale empirical study,SonarQube Issues; Fault-proneness; Code Changes; Software Quality; Technical Debt,Valentina Lenarduzzi,Female,1,"LUT University, Lahti, Finland",2,Finland,1,3,2,1,0,0,1,0,0,0,0
,,Nyyti SaarimÃ¤ki,Female,1,"Tampere University, Tampere, Finland",,Finland,,,,,,,,,0,0,0
,,Davide Taibi,Male,0,"Tampere University, Tampere, Finland",,Finland,,,,,,,,,1,0,1
From API to NLI: A new interface for library reuse,API Learning; Library Reuse; Natural Language Interface; Code Synthesis; Software Development,Qi Shen,Male,0,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",2,China,1,5,1,0,1,0,1,0,0,0,0
,,Shijun Wu,Male,0,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",,China,,,,,,,,,0,0,0
,,Yanzhen Zou,Female,1,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",,China,,,,,,,,,0,0,0
,,Zixiao Zhu,Male,0,IBM Research,,China,,,,,,,,,0,0,0
,,Bing Xie,Male,0,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",,China,,,,,,,,,1,0,1
The influence of Technical Debt on software developer morale,Technical Debt Management; Software Developer Productivity; Developer Morale; Time Wastage in Software Development; Software Engineering Practices,Terese Besker,Female,1,"Chalmers University of Technology, HÃ¶rselgÃ¥ngen 4, 417 56 Gothenburg, Sweden",3,Sweden,3,4,1,1,0,0,0,1,0,0,0
,,Hadi Ghanbari,Male,0,"Aalto University, Ekonominaukio 1, 02510, Espoo, Finland",,Finland,,,,,,,,,0,0,0
,,Antonio Martini,Male,0,"University of Oslo, Department of Informatics, GaustadallÃ©en 23B, 0373 Oslo, Norway",,Norway,,,,,,,,,0,0,0
,,Jan Bosch,Male,0,"Chalmers University of Technology, HÃ¶rselgÃ¥ngen 4, 417 56 Gothenburg, Sweden",,Sweden,,,,,,,,,1,0,1
"Uncertainty in information system development: Causes, effects, and coping mechanisms",Information System Development; Project Management; Uncertainty; Software Industry; Coping Mechanisms,Toni Taipalus,Male,0,University of Jyvaskyla,1,Finland,1,3,1,0,1,1,1,0,1,0,1
,,Ville SeppÃ¤nen,Male,0,University of Jyvaskyla,,Finland,,,,,,,,,0,0,0
,,Maritta Pirhonen,Female,1,University of Jyvaskyla,,Finland,,,,,,,,,0,0,0
Substructure similarity search for engineering service-based systems,Service-Oriented Architecture; Software Engineering; Substructure Similarity Search; Service-Based Systems; Feature-Based Method,Jintao Wu,Male,0,"Anhui University, School of Computer Science and Technology, Key Laboratory of Quantitative Remote Sensing in Agriculture",4,"China, China",2,5,1,0,1,0,0,1,0,0,0
,,Xing Guo,Male,0,"Anhui University, School of Computer Science and Technology",,China,,,,,,,,,0,0,0
,,Guijun Yang,Male,0,"Key Laboratory of Quantitative Remote Sensing in Agriculture, Beijing Research Center for Information Technology in Agriculture",,China,,,,,,,,,0,0,0
,,Shuhui Wu,Female,1,"Hefei University of Technology, School of Management",,China,,,,,,,,,0,0,0
,,Jianguo Wu,Male,0,"Anhui University, School of Computer Science and Technology",,China,,,,,,,,,1,0,1
GAP: Forecasting commit activity in git projects,Commit Forecasting; Survival Analysis; Git Activity; Open Source Software; Developer Abandonment,Alexandre Decan,Male,0,"Software Engineering Lab, University of Mons, Belgium",3,Belgium,2,4,1,0,1,0,0,1,0,0,0
,,Eleni Constantinou,Female,1,"Software Engineering Lab, University of Mons, Belgium; Eindhoven University of Technology, Netherlands",,"Belgium, Netherlands",,,,,,,,,0,0,0
,,Tom Mens,Male,0,"Software Engineering Lab, University of Mons, Belgium",,Belgium,,,,,,,,,1,0,1
,,Henrique Rocha,Male,0,"Lab On Reengineering (LORE - Ansymo), University of Antwerp, Belgium",,Belgium,,,,,,,,,0,0,0
Inner source software development: Current thinking and an agenda for future research,Open Source Software; Inner Source Development; Systematic Literature Review; Management Challenges; Research Agenda,Henry Edison,Male,0,"Lero, National University of Ireland Galway",1,Ireland,1,4,1,0,1,1,1,0,0,0,0
,,Noel Carroll,Male,0,"Lero, National University of Ireland Galway",,Ireland,,,,,,,,,0,0,0
,,Lorraine Morgan,Female,1,"Lero, National University of Ireland Galway",,Ireland,,,,,,,,,0,0,0
,,Kieran Conboy,Male,0,"Lero, National University of Ireland Galway",,Ireland,,,,,,,,,1,0,1
Modeling programs hierarchically with stack-augmented LSTM,Programming Language Modeling; Neural Networks; Code Completion; Program Classification; Code Summarization,Fang Liu,Female,1,"Peking University, Beijing",1,China,1,3,1,1,0,1,1,0,0,0,0
,,Lu Zhang,Male,0,"Peking University, Beijing",,China,,,,,,,,,0,0,0
,,Zhi Jin,Male,0,"Peking University, Beijing",,China,,,,,,,,,1,0,1
Cloud reliability and efficiency improvement via failure risk based proactive actions,Cloud Computing; Reliability Engineering; Failure Prediction; Proactive Failure Mitigation; Resource Optimization,Yuli Tian,Female,1,"School of Computer Science, Northwestern Polytechnical University; Ministry of Industry and Information Technology Key Laboratory of Big Data Storage and Management",2,China,2,3,1,1,0,0,0,1,0,0,0
,,Jeff Tian,Male,0,"Department of Computer Science, Southern Methodist University; School of Informatics, Northwest University",,"USA, China",,,,,,,,,1,0,1
,,Ning Li,Male,0,"School of Computer Science, Northwestern Polytechnical University; Ministry of Industry and Information Technology Key Laboratory of Big Data Storage and Management",,China,,,,,,,,,0,0,0
An Android application risk evaluation framework based on minimum permission set identification,Android Security; App Permissions; Overprivilege Detection; Static Analysis; Collaborative Filtering,Jianmao Xiao,Male,0,"College of Intelligence and Computing, Tianjin University, Tianjin, China",2,China,2,5,1,0,1,0,0,1,0,0,0
,,Shizhan Chen,Male,0,"College of Intelligence and Computing, Tianjin University, Tianjin, China",,China,,,,,,,,,0,0,0
,,Qiang He,Male,0,"School of Software and Electrical Engineering, Swinburne University of Technology, Hawthorn, VIC 3122, Australia",,Australia,,,,,,,,,0,0,0
,,Zhiyong Feng,Male,0,"College of Intelligence and Computing, Tianjin University, Tianjin, China",,China,,,,,,,,,1,0,1
,,Xiao Xue,Female,1,"College of Intelligence and Computing, Tianjin University, Tianjin, China",,China,,,,,,,,,0,0,0
LAURA architecture: Towards a simpler way of building situation-aware and business-aware IoT applications,IoT; WSN; Business Process Management; Situation Awareness; Open-source Architecture,Sergio Teixeira,Male,0,"Universidade Federal do EspÃ­rito Santo (UFES), Centro UniversitÃ¡rio CatÃ³lico de VitÃ³ria (UCV)",4,Brazil,1,8,2,0,1,0,1,0,0,0,0
,,Bruno Alves Agrizzi,Male,0,Universidade Federal do EspÃ­rito Santo (UFES),,Brazil,,,,,,,,,0,0,0
,,JosÃ© GonÃ§alves Pereira Filho,Male,0,Universidade Federal do EspÃ­rito Santo (UFES),,Brazil,,,,,,,,,1,0,1
,,Silvana Rossetto,Female,1,Universidade Federal do Rio de Janeiro (UFRJ),,Brazil,,,,,,,,,0,0,0
,,Isaac SimÃµes AraÃºjo Pereira,Male,0,Universidade Federal do EspÃ­rito Santo (UFES),,Brazil,,,,,,,,,0,0,0
,,PatrÃ­cia Dockhorn Costa,Female,1,Universidade Federal do EspÃ­rito Santo (UFES),,Brazil,,,,,,,,,0,0,0
,,Adriano Francisco Branco,Male,0,PontifÃ­cia Universidade CatÃ³lica do Rio de Janeiro (PUC-Rio),,Brazil,,,,,,,,,0,0,0
,,Ruan Rocha Martinelli,Male,0,Universidade Federal do EspÃ­rito Santo (UFES),,Brazil,,,,,,,,,0,0,0
A model-driven approach for the development of native mobile applications focusing on the data layer,Mobile Application Development; Model-Driven Development; Data Layer Design; Offline Data Persistence; Cross-platform Development,Manuel NÃºÃ±ez,Male,0,"Department of Electronics and Computer Science Engineering (DEI), Catholic University â€Nuestra SeÃ±ora de la AsunciÃ³nâ€",1,Paraguay,1,4,1,0,1,1,1,0,0,0,0
,,Daniel Bonhaure,Male,0,"Department of Electronics and Computer Science Engineering (DEI), Catholic University â€Nuestra SeÃ±ora de la AsunciÃ³nâ€",,Paraguay,,,,,,,,,0,0,0
,,MagalÃ­ GonzÃ¡lez,Female,1,"Department of Electronics and Computer Science Engineering (DEI), Catholic University â€Nuestra SeÃ±ora de la AsunciÃ³nâ€",,Paraguay,,,,,,,,,0,0,0
