Paper Title,Total Authors,Female Authors,lead?,local_Contribution?,national_collaboration?,International_collaboration?
A case study on the stability of performance tests for serverless applications,7,0,0,0,0,1
A comprehensive empirical investigation on failure clustering in parallel debugging,5,0,0,1,1,0
A novel approach for Software Architecture Product Line Engineering,4,0,0,0,0,1
A qualitative analysis of themes in instant messaging communication of software developers,3,1,1,1,1,0
A sampling-based online Co-Location-Resistant Virtual Machine placement strategy,3,1,1,0,0,1
A software reliability growth model for imperfect debugging,3,1,0,0,1,0
A survey of software architectural change detection and categorization techniques,4,1,0,1,1,0
A systematic literature review on benchmarks for evaluating debugging approaches,2,1,0,1,1,0
A user survey on the adoption of crowd-based software engineering instructional screencasts by the new generation of software developers,3,1,1,0,1,0
Adopting threat modelling in agile software development projects,4,3,1,0,0,1
Agile methods used by traditional logistics companies and logistics start-ups: a systematic literature review,2,1,1,0,1,0
An architecture for mission coordination of heterogeneous robots,6,1,0,0,0,1
An automated extract method refactoring approach to correct the long method code smell,3,1,1,1,1,0
An efficient heuristic algorithm for software module clustering optimization,3,0,0,1,1,0
An empirical characterization of software bugs in open-source Cyber–Physical Systems,4,2,1,0,0,1
An empirical comparison of four Java-based regression test selection techniques,3,1,1,0,1,0
An empirical study on the challenges that developers encounter when developing Apache Spark applications,4,0,0,0,1,0
An integrated tool set for verifying CafeOBJ specifications,2,0,0,0,0,1
Antipatterns in software classification taxonomies,2,0,0,1,1,0
Architectural conformance checking for KDM-represented systems✩,6,0,0,0,0,1
Architecture evaluation in continuous development,8,0,0,0,0,1
ARTe: Providing real-time multitasking to Arduino,8,0,0,0,0,1
Assessing the linguistic quality of REST APIs for IoT applications,4,1,0,0,1,0
Automated reverse engineering of role-based access control policies of web applications,5,0,0,0,0,1
Automatic development of requirement linking matrix based on semantic similarity for robust software development,3,0,0,0,1,0
Automatically recognizing the semantic elements from UML class diagram images,4,1,0,0,0,1
Can we trust tests to automate dependency updates? A case study of Java Projects,2,0,0,1,1,0
Cataloging dependency injection anti-patterns in software systems ✩,4,0,0,0,0,1
Changes in perceived productivity of software engineers during COVID-19 pandemic: The voice of evidence,6,4,1,0,0,1
CIT-daily: A combinatorial interaction testing-based daily build process,6,2,0,1,1,0
Classifying crowdsourced mobile test reports with image features: An empirical study,7,1,1,1,1,0
Code-quality evaluation scheme for assessment of student contributions to programming projects,3,0,0,0,0,1
Conformance assessment of Architectural Design Decisions on API endpoint designs derived from domain models✩,2,1,1,1,1,0
CONSERVE: A framework for the selection of techniques for monitoring containers security,7,0,0,0,0,1
Considerations and challenges for the adoption of open source components in software-intensive businesses,9,0,0,0,1,0
Continuous software security through security prioritisation meetings,2,2,1,1,1,0
Creativity Triggers: Extension and empirical evaluation of their effectiveness during requirements elicitation,4,0,0,0,0,1
Data Augmentation by Program Transformation✩,3,0,0,1,1,0
Data management for production quality deep learning models: Challenges and solutions,5,2,1,0,1,0
Deep learning application on code clone detection: A review of current knowledge,5,2,1,1,1,0
Developers’ need for the rationale of code commits: An in-breadth and in-depth study,3,1,1,0,0,1
EdgeWorkflow: One click to test and deploy your workflow applications to the edge,6,0,0,0,0,1
Emotimonitor: A Trello power-up to capture and monitor emotions of Agile teams✩,7,2,0,1,1,0
Estimating the potential of program repair search spaces with commit analysis,5,1,0,0,0,1
Evaluating the layout quality of UML class diagrams using machine learning,7,0,0,0,0,1
Exploiting gated graph neural network for detecting and explaining self-admitted technical debts,6,1,1,0,0,1
Exploring factors and metrics to select open source software components for integration: An empirical study,4,1,0,1,1,0
Exploring multi-programming-language commits and their impacts on software quality: An empirical study on Apache projects,6,2,0,0,1,0
