Paper Title,Study Domain Terms,Author Name,Gender,gender_annotation,Affiliation,Country,Total Authors,Female Authors,Female_lead?,Male_lead?,local_Contribution?,national_collaboration?,International_collaboration?,Supervision,FemaleSupervision,MaleSupervision,Unique Institute Count
Requirements for adopting software process lines,Software Process Lines; Method Tailoring; Requirements Engineering; Systematic Mapping Study; Software Product Lines,Halimeh Agh,Female,1.0,"Department of Computer Engineering, Sharif University of Technology, Tehran, Iran",Iran,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Requirements for adopting software process lines,,FÃ©lix Garcia,Male,0.0,"Alarcos Research Group, Information Technologies and Systems Institute, University of Castilla-La Mancha, Ciudad Real, Spain",Spain,,,,,,,,1.0,0.0,1.0,
Requirements for adopting software process lines,,Mario Piattini,Male,0.0,"Alarcos Research Group, Information Technologies and Systems Institute, University of Castilla-La Mancha, Ciudad Real, Spain",Spain,,,,,,,,1.0,0.0,1.0,
Requirements for adopting software process lines,,Raman Ramsin,Male,0.0,"Department of Computer Engineering, Sharif University of Technology, Tehran, Iran",Iran,,,,,,,,0.0,0.0,0.0,
Systematic literature reviews in software engineeringâ€”enhancement of the study selection process using Cohenâ€™s Kappa statistic,Systematic Literature Reviews; Bias Reduction; Study Selection Criteria; Software Engineering; Statistical Methods in Research,Jorge PÃ©rez,Male,0.0,Universidad PolitÃ©cnica de Madrid (Technical University of Madrid),Spain,4.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Systematic literature reviews in software engineeringâ€”enhancement of the study selection process using Cohenâ€™s Kappa statistic,,Jessica DÃ­az,Female,1.0,Universidad PolitÃ©cnica de Madrid (Technical University of Madrid),Spain,,,,,,,,0.0,0.0,0.0,
Systematic literature reviews in software engineeringâ€”enhancement of the study selection process using Cohenâ€™s Kappa statistic,,Javier Garcia-Martin,Male,0.0,Universidad PolitÃ©cnica de Madrid (Technical University of Madrid),Spain,,,,,,,,0.0,0.0,0.0,
Systematic literature reviews in software engineeringâ€”enhancement of the study selection process using Cohenâ€™s Kappa statistic,,Bernardo Tabuenca,Male,0.0,Universidad PolitÃ©cnica de Madrid (Technical University of Madrid),Spain,,,,,,,,0.0,0.0,0.0,
A classification framework for automated control code generation in industrial automation,Industrial Automation; Control Logic Generation; IEC 61131-3; Automation Software; Case Study Validation,Heiko Koziolek,Male,0.0,"ABB Corporate Research Center Germany, Wallstadter Str. 59, D-68526 Ladenburg, Germany",Germany,4.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0
A classification framework for automated control code generation in industrial automation,,Andreas Burger,Male,0.0,"ABB Corporate Research Center Germany, Wallstadter Str. 59, D-68526 Ladenburg, Germany",Germany,,,,,,,,0.0,0.0,0.0,
A classification framework for automated control code generation in industrial automation,,Marie Platenius-Mohr,Female,1.0,"ABB Corporate Research Center Germany, Wallstadter Str. 59, D-68526 Ladenburg, Germany",Germany,,,,,,,,0.0,0.0,0.0,
A classification framework for automated control code generation in industrial automation,,Raoul Jetley,Male,0.0,"ABB Corporate Research, Bhoruka Tech Park, ITPL Main Rd, Mahadevapura, Bengaluru, Karnataka 560048, India",India,,,,,,,,0.0,0.0,0.0,
The effect of transactive memory systems on process tailoring in software projects: The moderating role of task conflict and shared temporal cognitions,Software Process Tailoring; Transactive Memory Systems; Task Conflict; Temporal Cognitions; Team Performance,Jung-Chieh Lee,Male,0.0,"International Business Faculty, Beijing Normal University Zhuhai",China,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
The effect of transactive memory systems on process tailoring in software projects: The moderating role of task conflict and shared temporal cognitions,,Yih-Tsyr Wang,Female,1.0,"Department of Information Management, National Central University",Taiwan,,,,,,,,0.0,0.0,0.0,
The effect of transactive memory systems on process tailoring in software projects: The moderating role of task conflict and shared temporal cognitions,,Chung-Yang Chen,Male,0.0,"Department of Information Management, National Central University",Taiwan,,,,,,,,1.0,0.0,1.0,
Generating summaries for methods of event-driven programs: An Android case study,Source Code Summarization; Event-driven Programs; Deep Neural Networks; Dynamic Call Graphs; Android Development,Alireza Aghamohammadi,Male,0.0,"Department of Computer Engineering, Sharif University of Technology",Iran,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Generating summaries for methods of event-driven programs: An Android case study,,Maliheh Izadi,Female,1.0,"Department of Computer Engineering, Sharif University of Technology",Iran,,,,,,,,0.0,0.0,0.0,
Generating summaries for methods of event-driven programs: An Android case study,,Abbas Heydarnoori,Male,0.0,"Department of Computer Engineering, Sharif University of Technology",Iran,,,,,,,,1.0,0.0,1.0,
A systematic study of reward for reinforcement learning based continuous integration testing,Reinforcement Learning; Continuous Integration Testing; Test Case Prioritization; Reward Functions; Software Testing,Yang Yang,Male,0.0,"College of Information Science and Technology, Beijing University of Chemical Technology",China,4.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
A systematic study of reward for reinforcement learning based continuous integration testing,,Zheng Li,Male,0.0,"College of Information Science and Technology, Beijing University of Chemical Technology",China,,,,,,,,1.0,0.0,1.0,
A systematic study of reward for reinforcement learning based continuous integration testing,,Liuliu He,Female,1.0,"College of Information Science and Technology, Beijing University of Chemical Technology",China,,,,,,,,0.0,0.0,0.0,
